avg_flight_discount,total_flight_discount,avg_hotel_discount,total_hotel_discount,total_sessions,avg_session_duration,total_session_duration,total_flights_booked,total_hotels_booked,avg_flight_fare_usd,total_flight_fare_usd,n_unique_destinations,cluster,pc1,pc2
0.0,0,0.25,2,8,1.2770833333333333,10.216666666666667,0,2,0.0,0.0,0,0,-2.0608507672104657,-0.6705788598740926
0.0,0,0.125,1,8,1.1291666666666667,9.033333333333333,2,2,432.04499999999996,864.0899999999999,2,0,-1.1887848644445904,1.040889797785802
0.25,2,0.0,0,8,2.0375,16.3,1,2,189.91,189.91,1,0,-1.570139927481235,-0.2760957697812309
0.25,2,0.125,1,8,1.9625,15.7,5,5,248.532,1242.66,5,1,1.7416979184778743,1.8993576606597657
0.125,1,0.125,1,8,12.648584435416666,101.18867548333333,2,2,13902.06,27804.12,1,2,11.258378972145586,-1.7900956626215672
0.25,2,0.375,3,8,2.5520833333333335,20.416666666666668,3,4,779.7633333333333,2339.29,3,1,1.862669704230514,-0.7908451983665863
0.25,2,0.0,0,8,0.8625,6.9,1,1,384.68,384.68,1,0,-1.9170761549471234,-0.39802474432454404
0.1111111111111111,1,0.1111111111111111,1,9,2.196296296296296,19.766666666666666,3,3,584.4399999999999,1753.32,3,1,0.3385344771512683,1.0520621804864518
0.0,0,0.125,1,8,1.1354166666666667,9.083333333333334,1,0,423.51,423.51,1,0,-2.2508705366540567,0.043536103017438266
0.125,1,0.0,0,8,2.1958333333333333,17.566666666666666,5,5,385.732,1928.66,5,1,1.2744786195402091,3.2136675253851887
0.125,1,0.125,1,8,2.316666666666667,18.533333333333335,1,1,367.83,367.83,1,0,-1.5370443736851538,-0.524288318582896
0.0,0,0.125,1,8,2.308333333333333,18.466666666666665,3,3,218.95666666666662,656.8699999999999,3,1,-0.36029795116599295,1.6941157738090318
0.0,0,0.0,0,8,1.3479166666666667,10.783333333333333,1,1,93.62,93.62,1,0,-2.5667074952742746,0.9311961565015314
0.25,2,0.125,1,8,1.3895833333333334,11.116666666666667,1,1,328.32,328.32,1,0,-1.4416292463584024,-1.105388035894922
0.125,1,0.25,2,8,0.9666666666666667,7.733333333333333,0,0,0.0,0.0,0,0,-2.3112546732743082,-1.7757454813164342
